Component,G_lavaan,S1_lavaan,S2_lavaan,S3_lavaan,nihtbx_cardsort_uncorrected,nihtbx_flanker_uncorrected,nihtbx_list_uncorrected,nihtbx_pattern_uncorrected,nihtbx_picture_uncorrected,nihtbx_picvocab_uncorrected,nihtbx_reading_uncorrected,pea_ravlt_sd_tc,pea_ravlt_ld_tc,pea_wiscv_trs,lmt_scr_num_correct
11,-4.58480423623603,-2.92123872638994,1.23818325545341,-0.783864284768642,-1.0034203363637,-1.0958831210136,-1.46748128119497,0.0425672734030854,0.116642003464855,-4.09200433354442,-4.78781194022532,-2.38535853169345,-2.82562647761001,-3.84133526998917,-3.76294636789214
12,1.81165457641351,-0.69771641614543,1.03779114212021,0.540274201558831,1.03281860999953,2.07620482313132,0.643660820560794,0.24006436636317,0.944594353146427,1.91871075256485,0.149473724088268,0.563391733598293,0.764960366942445,0.194149598891296,1.4754637105672
13,8.38158453000466,1.88964472776116,-0.187337469341639,-0.140218593771201,2.9157459843065,3.08801967714737,5.92753917004163,1.97384712891802,3.44551394154884,4.76430808445128,5.76704455994849,4.24653534514135,3.149867877863,6.24184466473329,5.3165613260375
14,4.96770439631794,2.3274313433074,-1.00839713659954,-0.330367427789352,1.62435380000188,1.88664624440071,3.16375780124653,1.05411453285014,1.29387219378671,3.21255208638449,4.38371373391582,2.3005911806701,2.49920408923169,5.81188740092759,2.12559683853914
15,-1.22318575634844,-0.757854121400082,-0.669135407452828,3.46476510567626,-1.70433302289949,-0.31556865173177,-1.86601165612231,-0.854625051001066,0.44168778714204,-1.18853319246639,-1.27142945909457,1.64817331156256,2.19879805108533,-2.34649888490664,-1.66081756468122
16,-8.16329980925873,-3.92648423827808,-0.117490916323324,0.316985253367236,-4.37566319490143,-3.14923415338175,-5.5119782789344,-2.04494482189437,-3.51581221210373,-6.8648456862859,-7.74780363554935,-4.06589131195552,-2.90172071843753,-5.77179776903629,-3.89390175362985
17,-2.40475512576221,-0.133131886907738,1.37345559484571,-1.87219561229406,1.17049442334628,-0.888067539619818,-0.907420106603466,0.520946077397622,-2.1063338912072,-1.54473684094012,-1.53628230633458,-2.84849115166134,-1.92650686940857,-1.53957992904944,-0.450971380417914
18,5.66267458796281,2.0215066050547,-1.16496022200315,-0.0152155133315844,2.49193636155683,0.395231729950896,4.53231515388294,0.109149444579635,2.34415965300148,4.45486442636457,4.347854609837,2.72803474455131,1.34407060286862,2.55348683098757,1.75890760721078
19,-6.381137519808,-3.98021888040503,2.79574379612326,0.359294545160339,-0.317645931437637,-1.05289607276218,-3.92525820279472,-0.0716199963110934,-3.43865237237229,-5.34390552543203,-7.04726736647853,-2.32171011476153,-2.39854465865818,-5.42035898077373,-3.36016695730827
20,1.85100157532783,-2.65177660618359,-0.127921979950665,1.52705044739561,0.765959795749699,-0.23599511129146,1.26580015711172,1.54487474894755,1.82023924551394,1.33809689465294,-1.61892070871591,1.3439063945213,2.785594142899,1.56654551686845,1.11698549667121
